Origen,Página,Tema,Propuesta,,,,,,Persona
Programa,104,Juventud,"Ley de Juventud - Plataforma Nacional de Juventud: a través de una ley se creará una plataforma de participación juvenil que contemple el territorio nacional. La misma tendrá como objetivos: estimular, difundir y coordinar la participación de las y los jóvenes de nuestro país, creando un espacio de referencia para las organizaciones juveniles.",,,,,,Tabaré Vázquez
Programa,105,Juventud,"Política de Primera Experiencia Laboral Juvenil: en el marco de la aplicación de la nueva ley de empleo juvenil se desarrollará un programa que estará destinado a jóvenes de entre 16 y 24 años, a los efectos de desarrollar su primera oportunidad laboral formal, en un período temporal acotado y bajo diversas modalidades en empresas públicas, privadas y organismos de la administración central.",,,,,,Tabaré Vázquez
Programa,105,Juventud,"Presupuesto con perspectiva de Juventud: la inversión pública en juventud deberá reflejarse en la elaboración del presupuesto nacional. Por lo tanto se incorporará - como criterio para su elaboración- la dimensión generacional, esto significa que cada organismo deberá dar visibilidad en su presupuesto al monto destinado a políticas, programas e iniciativas a jóvenes",,,,,,Tabaré Vázquez
Programa,105,Juventud,"Programa de vivienda para jóvenes: se incorporaran facilidades, criterios flexibles y acciones afirmativas para jóvenes en el conjunto de políticas habitacionales desarrolladas por el MVOTMA, el BHU y la Agencia Nacional de Vivienda. Principalmente se pondrá en funcionamiento un el sistema de garantía de alquiler para jóvenes.",,,,,,Tabaré Vázquez
Programa,104,Juventud,"Sistema de Cuidados en Centros Educativos: esta política atenderá particularmente la situación de mujeres jóvenes excluidas del sistema educativo, se desarrollará en forma paralela al aula y permita fortalecer las trayectorias educativas de adolescentes y jóvenes, permitiendo así la culminación del ciclo de educación media.",,,,,,Tabaré Vázquez
Programa,104,Juventud,"Sistema de información para el acompañamiento de las trayectorias educativas: este instrumento estará al servicio de educadores y docentes para la toma de decisiones cotidianas en el desarrollo de estrategias de inclusión educativa, prevención de rezagos y desvinculación.",,,,,,Tabaré Vázquez
Programa,105,Juventud,Se pondrá en funcionamiento un sistema de formación profesional que implicará la coordinación y articulación de los contenidos curriculares de los programas de formación para el trabajo (formal y no formal).,,,,,,Tabaré Vázquez
Programa,104,Juventud,Universalizar el sistema de tutoría o referentes entre pares: se extenderá y ampliará en la educación media superior y básica la incorporación de la figura del “referente par” como estrategia prioritaria de acompañamiento de proximidad. Al mismo tiempo que se fomentará en el conjunto de la educación terciaria el desarrollo de prácticas solidarias como práctica acreditable,,,,,,Tabaré Vázquez
Programa,65,Medio Ambiente,Conformar el Sistema Nacional de Gestión Integral de Residuos.,,,,,,Tabaré Vázquez
Programa,65,Medio Ambiente,"Creación de la Comisión Asesora para el Desarrollo Sostenible. Reuniendo en ella las actuales roles de la COTAMA, COAOT, COASA y CAAT, que superponen funciones y actores institucionales y sociales en su funcionamiento, creando una sola comisión que integre al conjunto de actores e instituciones sociales, públicas y privadas, relacionadas con estos procesos., garantizando así la mayor y democrática participación. (COTAMA - Comisión Técnica Asesora de Medio Ambiente, COAOTComisión Asesora en Ordenamiento Territorial, COASA - Comisión Asesora en Agua y Saneamiento, CAAT - Comisión de Agua, Ambiente y Territorio).",,,,,,Tabaré Vázquez
Discurso,7,Medio Ambiente,"Creación de la Secretaría Nacional de Medio Ambiente, Cambio Climático y Agua.",,,,,,Tabaré Vázquez
Programa,64,Medio Ambiente,"Definir e implementar el Sistema Nacional Ambiental (SNA). Las políticas públicas de protección del ambiente y del desarrollo sostenible, se deben nutrir con todas las visiones sectoriales y es el SNA el espacio adecuado para ello, reafirmando el rol articulador en la materia del Ministerio y la necesaria racionalización y reformulación de los numerosos ámbitos concurrentes en materia ambiental y de planificación.",,,,,,Tabaré Vázquez
Programa,64,Medio Ambiente,"Implementar un Plan Nacional para la promoción de la Agroecología y la Agricultura Orgánica.El mismo priorizará las áreas rurales cercanas a pueblos y ciudades, cuencas utilizadas como fuentes de agua para uso humano, áreas de interés por su biodiversidad y zonas de concentración de agricultores familiares.",,,,,,Tabaré Vázquez
programa,43,Medio Ambiente,Legislar para la recuperación de los envases de plástico en procura de un hábitat más limpio.,,,,,,Tabaré Vázquez
Programa,64,Medio Ambiente,"Promover la formulación de un Plan Nacional Ambiental que profundice y articule el conjunto de aspectos sectoriales hoy dispersos en su concepción y gestión, definiendo explícitas políticas, así como planes y programas para su implementación articulada y consistente, considerando las potestades de planificación otorgadas a los gobiernos departamentales por la ley 18.308. En particular, sobre residuos sólidos, cambio climático, áreas protegidas y biodiversidad, recursos hídricos, emisiones de todo origen, entre otros. Deberá contener definiciones precisas sobre los procedimientos de monitoreo, evaluación y control de los procesos y actuaciones productivas, capaces de generar modificaciones en la calidad ambiental.",,,,,,Tabaré Vázquez
programa,43,Medio Ambiente,Se deberá legislar para ir paulatinamente sustituyendo los envases de plástico por los de vidrio.,,,,,,Tabaré Vázquez
Programa,38,Medio Ambiente,"Se promoverá la producción agro ecológica de alimentos mediante la elaboración participativa de un programa integral que involucre extensión investigación, apoyo organizativo y créditos diferenciales entre otros. Este programa estará destinado a un proceso que gradualmente pueda abastecer de productos sanos inicialmente a escuelas y hospitales y luego a toda la población.",,,,,,Tabaré Vázquez
Programa,125,Medios de Comunicación,Abrir la competencia en TV para abonados como se hará en la TV abierta.,,,,,,Tabaré Vázquez
Discurso,4,Medios de Comunicación,"Aprobación del decreto reglamentario de la Ley N.º 19.307, que regula la prestación de servicios de radio, televisión y otros servicios de comunicación audiovisual.",,,,,,Tabaré Vázquez
Programa,126,Medios de Comunicación,Aprobar legislación para la creación de un Ombudsman nacional para la defensa de los derechos de las personas ante los servicios de comunicación audiovisual.,,,,,,Tabaré Vázquez
Programa,125,Medios de Comunicación,"Aprobar una legislación que regule la asignación de publicidad oficial para que haya una distribución más justa a todos los medios del país, de modo transparente y bajo criterios compatibles con la libertad de expresión y la promoción del pluralismo y la diversidad.",,,,,,Tabaré Vázquez
Programa,125,Medios de Comunicación,"Consolidar los mecanismos de otorgamiento de autorizaciones y licencias de servicios de comunicación audiovisual en igualdad de oportunidades y sin discriminación a través de la realización de concursos públicos y audiencias públicas, la asignación por criterios que no se basen en la capacidad económica, la influencia político-partidaria o la línea editorial del medio, la participación y control ciudadano en el proceso de otorgamiento, etc.",,,,,,Tabaré Vázquez
Programa,126,Medios de Comunicación,"Crear nuevos fondos específicos y fortalecer los fondos existentes (ICAU, MEC, MIEM, etc.) de apoyo a la producción audiovisual nacional de calidad y con alto valor agregado, en especial para televisión, pero pensada para su emisión en múltiples plataformas tecnológicas, así como de aplicaciones interactivas para el nuevo entorno digital y convergente. El otorgamiento de recursos económicos deberán seguir procedimientos concursables u otras formas no discriminatorias de acceso a fondos públicos",,,,,,Tabaré Vázquez
Programa,126,Medios de Comunicación,"Establecer estímulos regulatorios y fiscales para lograrla ampliación, difusión y distribución de la producción independiente en los medios de comunicación audiovisual a través de medidas tales como exigencias de mínimos de emisión o distribución de contenidos nacionales, premios y fondos concursables, líneas especiales de crédito, facilitación de locaciones y estímulos fiscales, entre otros. También se deberán promover condiciones y relaciones justas entre productores y operadores de TV. ",,,,,,Tabaré Vázquez
Programa,126,Medios de Comunicación,"Establecer estímulos regulatorios y fiscales para lograrla descentralización de la producción de contenidos excesivamente concentrada en Montevideo, y el fortalecimiento de los medios locales y regionales del Interior, a través de medidas tales como premios, fondos concursables, exigencias regulatorias de mínimos de emisión o distribución, líneas especiales de financiamiento, facilitación de locaciones y estímulos fiscales.",,,,,,Tabaré Vázquez
Programa,124,Medios de Comunicación,"Fortalecer la legislación que protege y promueve el ejercicio pleno de los derechos de niños, niñas y adolescentes a la privacidad e intimidad, imagen, dignidad, no discriminación y acceso; estableciendo un horario de protección en medios audiovisuales y regulando, en consonancia con estándares internacionales, la publicidad dirigida a niños, la publicidad protagonizada por niños, y la exhibición y difusión de imágenes de excesiva violencia o truculentas o que hagan apología o incitación a la violencia durante el horario de protección, entre otras medidas.",,,,,,Tabaré Vázquez
Programa,126,Medios de Comunicación,"Generar fondos concursables para producción y programación, desarrollando cursos de capacitación en conjunto con los medios y la UDELAR, facilitando el acceso a equipamiento de transmisión y producción, estableciendo procedimientos diferenciados de otros sectores y adecuando las exigencias técnicas y administrativas a las características del sector, entre otras.",,,,,,Tabaré Vázquez
Programa,124,Medios de Comunicación,"Impulsar la primera Defensoría del Público con el objetivo de promover y educar en derechos, articular entre las audiencias y el público, investigar y exponer los problemas del sistema mediático.",,,,,,Tabaré Vázquez
Programa,126,Medios de Comunicación,Incorporar el uso de señales de TV satelitales de acceso abierto para garantizar el acceso a todos los hogares del país de las emisoras públicas.,,,,,,Tabaré Vázquez
Programa,126,Medios de Comunicación,Mejorar el presupuesto nacional asignado a los medios públicos nacionales para que puedan cumplir con su papel.,,,,,,Tabaré Vázquez
Programa,126,Medios de Comunicación,"Promover el surgimiento de iniciativas comunitarias y sin fines de lucro en la televisión, a través de acciones como el uso de la reserva de espectro y el otorgamiento de nuevas autorizaciones, la asignación de un porcentaje del canon que pagarán los licenciatarios de la TV digital.",,,,,,Tabaré Vázquez
Programa,155,Política Exterior,Adecuación del estatuto del Servicio Exterior tomando como base los lineamientos del nuevo Estatuto del funcionario público.,,,,,,Tabaré Vázquez
Programa,145,Política Exterior,Devolución de impuestos indirectos según grado de incorporación de valor y agregado de mano de obra.,,,,,,Tabaré Vázquez
Programa,145,Política Exterior,Fortalecer un esquema de trabajo en base a la confección de un Mapa de Mercados en donde clasificar los mercados meta.,,,,,,Tabaré Vázquez
Programa,156,Política Exterior,"Migración hacia el uso de software libre, e implantación de sistemas y/o paquetes ofimáticos de código abierto, en línea con la política de soberanía tecnológica y racionalización de recursos.",,,,,,Tabaré Vázquez
Programa,155,Política Exterior,"Renovación tecnológica a partir de la implantación de un sistema de gestión documental electrónico que abarque la totalidad de las vías (expediente, nota, memo, circular, Resolución Ministerial, etc.) y la totalidad de las Misiones.",,,,,,Tabaré Vázquez
Programa,144,Política Exterior,Localización de centros de información en comercio exterior e inteligencia comercial en el interior del país teniendo como uno de los factores para su localización la regionalización territorial.,,,,,,Tabaré Vázquez
Programa,144,Política Exterior,Negociar en el ámbito del MERCOSUR la extensión del Régimen de Admisión Temporaria.,,,,,,Tabaré Vázquez
Programa,96,Politicas Sociales,"Formalizar por ley la Tarjeta Uruguay Social ya existente de forma similar a Asignaciones
Familiares y Asistencia a la Vejez.",,,,,,Tabaré Vázquez
Programa,93,Sistema de Cuidados,Ampliar los servicios de cuidado a contra-horario escolar existentes y generar otros para niños y niñas en esas edades.,,,,,,Tabaré Vázquez
Discurso,4,Sistema de Cuidados,"Crear y ordenar las acciones del Sistema Nacional de Cuidados. Como toda transformación estructural, la instrumentación del Sistema de Cuidados será gradual. ",,,,,,Tabaré Vázquez
Programa,94,Sistema de Cuidados,"El financiamiento necesario para la construcción del Sistema Nacional de Cuidados será incluido en el presupuesto quinquenal 2015-2020. Se considerarán diversas fuentes (públicas, privadas, mixtas).",,,,,,Tabaré Vázquez
Programa,94,Sistema de Cuidados,"El Ministerio de Desarrollo Social será el responsable de coordinar el sistema a través de una Junta Nacional de Cuidados integrada por aquellas instituciones con competencia en rectoría de políticas de cuidados, y con participación social  la Junta incluirá entre sus miembros un/a representante del Instituto Nacional de las Mujeres. ",,,,,,Tabaré Vázquez
Discurso,4,Sistema de Cuidados,"En el primer año de su ejecución se invertirá en el entorno de los 45 millones de dólares y para el año 2020, cuando todas las acciones previstas estén desplegadas, el costo anual del Sistema Nacional Integrado de Cuidados será aproximadamente de 240 millones de dólares.",,,,,,Tabaré Vázquez
Programa,93,Sistema de Cuidados,Establecer por ley la creación de centros de cuidado para la primera infancia en centros de estudios y de trabajo atendiendo las mejores experiencias latinoamericanas.,,,,,,Tabaré Vázquez
Programa,94,Sistema de Cuidados,Generalizar los servicios de tele-asistencia en población adulta mayor.,,,,,,Tabaré Vázquez
Programa,93,Sistema de Cuidados,Generalizar los servicios de teleasistencia en esta población con discapacidad,,,,,,Tabaré Vázquez
Programa,94,Sistema de Cuidados,Implementar un Programa Nacional de Cuidados Domiciliarios para personas adultas mayores en situación de dependencia,,,,,,Tabaré Vázquez
Programa,94,Sistema de Cuidados,Promover la construcción de centros regionales y públicos de larga estadía en el interior del país como parte de una nueva estrategia de regulación y supervisión de residenciales y hogares,,,,,,Tabaré Vázquez
Programa,94,Sistema de Cuidados,Promover la definición de la categoría laboral de “cuidador/a” y sus diferentes niveles de complejidad e incorporarla en los espacios de negociación colectiva (Consejos de Salarios).,,,,,,Tabaré Vázquez
Programa,94,Sistema de Cuidados,"Promover mecanismos de flexibilidad horaria y licencias por responsabilidades familiares para las personas que cuidan a sus familiares en situación de dependencia en forma no remunerada, si están ocupadas.",,,,,,Tabaré Vázquez
Programa,93,Sistema de Cuidados,"Se fijarán estándares de los servicios (infraestructura; tipo de acciones básicas a definir como parte del servicio; número, calidad y organización de los recursos humanos, entre otros) apuntando a mejorar la calidad de los mismos.",,,,,,Tabaré Vázquez
Programa,93,Sistema de Cuidados,Universalizar la oferta pública de atención diaria para niños y niñas de 3 años,,,,,,Tabaré Vázquez
Discurso,5,Salud,"[Respecto al alcohol] Vamos a desarrollar acciones similares, muy fuertes, como las que desarrollamos en la lucha contra el tabaquismo.",,,,,,Tabaré Vázquez
Discurso,5,Salud,Disminución del costo de los prepagos o tiques.,,,,,,Tabaré Vázquez
Discurso,5,Salud,"Implementar el principio para que frente a una urgencia médica que requiere cualquier persona que se encuentre fuera del departamento donde resida, ella tendrá derecho a concurrir a cualquier institución pública o privada del departamento donde se encuentre para recibir la atención médica que requiera.",,,,,,Tabaré Vázquez
Discurso,5,Salud,Incorporación a la canasta de cobertura obligatoria la cirugía de vesícula por vía laparoscópica y la ecografía estructural para las madres que la tengan indicada.,,,,,,Tabaré Vázquez
Programa,76,Salud,Modificación de la ley 18211 generando la obligatoriedad de los efectores de salud públicos y privados de complementarse territorialmente cuando ello sea necesario para la concreción de objetivos sanitarios definidos. ,,,,,,Tabaré Vázquez
Discurso,6,Salud,Propiciaremos la incorporación del Hospital de Clínicas de nuestra Facultad de Medicina al Sistema Integrado de Salud.,,,,,,Tabaré Vázquez
Discurso,5,Salud,Se completará la instauración de la historia clínica electrónica y la modalidad de interconsultas.,,,,,,Tabaré Vázquez
Programa,77,Salud,Se definirán Mecanismos de Regulación de precios de mercado de compra-venta de servicios en el SNIS con la finalidad de eliminar el lucro dentro del Sistema.,,,,,,Tabaré Vázquez
Programa,77,Salud,"Se incrementará el presupuesto de ASSE, asignando el mismo según cápitas ajustadas por edad y sexo de su población usuaria para las prestaciones del PIAS con valor equivalente al de los usuarios FONASA. Las prestaciones no PIAS seguirán siendo financiadas bajo el régimen actual.",,,,,,Tabaré Vázquez
Programa,76,Salud,"Se realizarán ajustes normativos para una mayor articulación y complementación de los servicios públicos articulados en la RIEPS (Red Integrada de Efectores Públicos de Salud), en el marco de su integración plena al SNIS, incluyendo la participación de ASSE como miembro pleno de la JUNASA representando a la Red Pública de Salud.",,,,,,Tabaré Vázquez
Discurso,3,Seguridad Ciudadana y Vial,"Creación de un Plan Nacional de Cultura Democrática y Humanista. Esta herramienta desarrollará permanentemente programas y acciones para la inclusión social y la convivencia pacífica, contra la violencia y toda forma de discriminación, así como la promoción de la cultura basada en la dignidad de la persona humana, considerada en su dimensión individual y comunitaria",,,,,,Tabaré Vázquez
Programa,134,Seguridad,Ampliar las facultades del Ministerio del Interior en cuanto a las competencias para el control y la información relacionada al registro de armas de fuego.,,,,,,Tabaré Vázquez
Programa,131,Seguridad,Construcción de un Sistema Integral de Respuestas hacia un País Libre de Violencia de Género y Generaciones.,,,,,,Tabaré Vázquez
Programa,134,Seguridad,Desarrollo de una nueva currícula educativa para todos los escalones de promoción y formación policiales.,,,,,,Tabaré Vázquez
Programa,131,Seguridad,Destinar mayores recursos humanos y financieros a la investigación de los hechos de violencia doméstica y de género garantizando la adecuada sanción y reparación de los hechos. ,,,,,,Tabaré Vázquez
Programa,134,Seguridad,El traspaso definitivo a la órbita civil del sistema de gestión de prisiones.,,,,,,Tabaré Vázquez
Programa,130,Seguridad,"En el marco de la promoción de la cultura ciudadana, se fortalecerán las Mesas Locales de Convivencia y Seguridad Ciudadana, la Policía Comunitaria y el Centro de Asistencia a Víctimas del Delito.",,,,,,Tabaré Vázquez
Programa,134,Seguridad,"Fortalecer el Sistema de Información de Seguridad Pública a través del desarrollo de un módulo de datos estadísticos sobre el tiempo de patrullaje, tanto en vehículos como a pie; y también de la implementación de un sistema de información criminal.",,,,,,Tabaré Vázquez
Programa,133,Seguridad,Profundización de la reforma organizativa de la Policía Nacional orientada a la gestión basada en el conocimiento y la inteligencia aplicada.,,,,,,Tabaré Vázquez
Programa,135,Seguridad,"Profundizar la intervención post-penitenciarias, asociadas al rol del Patronato Nacional de Encarcelados y Liberados, que deberá continuar con su proceso de modernización y mejora de los procedimientos.",,,,,,Tabaré Vázquez
Programa,133,Seguridad,"Puesta en funcionamiento de una nueva Ley Orgánica Policial que establezca con claridad que la Policía está al servicio del Estado de Derecho, y que su misión es garantizar el libre ejercicio de los derechos y libertades de los ciudadanos. ",,,,,,Tabaré Vázquez
Programa,134,Seguridad,Reasignación de recursos entre jurisdicciones policiales. Continuar con la planificación y distribución de los recursos materiales y humanos conforme a la geo referenciación del delito. Tenderemos a concentrar el personal y los medios materiales en las jurisdicciones en las que la estadística constata grandes concentraciones de eventos delictivos de suma seriedad llevando el proceso de forma gradual y evaluando sus impactos.,,,,,,Tabaré Vázquez
Discurso,3,Seguridad,"Reducir drásticamente el delito de rapiña y se continuará con la lucha frontal al narcotráfico, al lavado de activos y a los delitos precedentes tales como la corrupción.",,,,,,Tabaré Vázquez
Programa,131,Seguridad,Se fortalecerán los equipos técnicos y periciales de los juzgados y se continuará con el proceso de profesionalización y especialización de la Policía Nacional.,,,,,,Tabaré Vázquez
Programa,50,Seguridad Vial,"Se generará una Policía Nacional de Tránsito, con personal adecuado y tecnología de punta que permita, no sólo la verificación online de infracciones en rutas nacionales y centros urbanos con centro de monitoreo interinstitucional, sino un mayor control de la siniestralidad en el tránsito en general",,,,,,Tabaré Vázquez
Programa,50,Seguridad Vial,"Se implementará un Registro Único Nacional de Conductores y Sanciones con permisos únicos de conducción por puntos, profundizando la política de la Seguridad Vial con una visión humanista y con definiciones de tránsito como cuestiones de seguridad pública y ciudadana, adoptando mecanismos para preservar la vida y la salud total de la población",,,,,,Tabaré Vázquez
Programa,80,"Trabajo, Empleo y Relaciones Laborales","Combate a la informalidad, que es heterogénea y aún próxima al 20%,  ya que lesiona diversos derechos de los trabajadores y genera situaciones de competencia desleal en el mercado laboral.",,,,,,Tabaré Vázquez
Programa,82,"Trabajo, Empleo y Relaciones Laborales","Desarrollar programas dirigidos a primeras experiencias laborales, tanto en empresas públicas como privadas.",,,,,,Tabaré Vázquez
Programa,80,"Trabajo, Empleo y Relaciones Laborales","Incremento de salarios mínimos, se realizara un fuerte incremento especialmente en algunos sectores, entre los que se encuentran el rural, doméstico, comercio y servicios.",,,,,,Tabaré Vázquez
Programa,79,Vivienda,"En el caso de suelo de propiedad pública, se acelerará el pasaje al MVOTMA de todos los predios aptos para vivienda, propiedad del Estado Persona Pública Mayor, no utilizados para fines prioritarios.",,,,,,Tabaré Vázquez
Discurso,6,Vivienda,Instrumentación el programa de garantía de alquileres y accesibilidad a la vivienda para los jóvenes. ,,,,,,Tabaré Vázquez
Discurso,6,Vivienda,"Integración al Ministerio de Vivienda, Ordenamiento Territorial y Medio Ambiente el Programa de Mejoramiento de Barrios y el Plan Juntos.",,,,,,Tabaré Vázquez
Programa,79,Vivienda,"Se agilizará la ejecución de deudas con el Estado que gravan la propiedad inmobiliaria, siempre que ésta no sea vivienda única y permanente del deudor y que no medien dificultades económicas para el pago, en cuyo caso se otorgarán facilidades a ese efecto. ",,,,,,Tabaré Vázquez
Programa,80,Vivienda,Se cuantificara con periodicidad el stock de viviendas vacías (no de uso temporal).,,,,,,Tabaré Vázquez
Programa,79,Vivienda,Se dispondrá la utilización obligatoria e inmediata de inmuebles abandonados u ociosos propiedad del Estado en todos sus niveles.,,,,,,Tabaré Vázquez
Programa,80,Vivienda,"Se dispondrá una línea de créditos blandos para refaccionar viviendas para alquilar, con compromiso de arrendamiento antes del año y pago mediante retención a los alquileres. Esto se complementará con la aplicación de gravámenes a las viviendas desocupadas y terrenos baldíos.",,,,,,Tabaré Vázquez
Programa,80,Vivienda,"Se efectivizará la aplicación de la Canasta Energética (conexiones internas, tarifas, uso) para mejorar las condiciones de habitabilidad de la vivienda y facilitar la permanencia.",,,,,,Tabaré Vázquez
Programa,79,Vivienda,"Se elevará el tope de ingresos para ser sujeto de crédito del Plan de Vivienda, considerándose en ese tope la integración del núcleo familiar, tomando como parámetro el ingreso por persona.",,,,,,Tabaré Vázquez
Programa,79,Vivienda,"Se establecerá la prohibición de que sociedades anónimas puedan acceder a la propiedad de suelo urbano para uso residencial, lo que sólo podrán hacer las sociedades nominativas.",,,,,,Tabaré Vázquez
Programa,80,Vivienda,"Se establecerá un sistema de alquiler con opción a compra, para la franja de población que tiene capacidad de pago sin subsidio pero no de ahorro mientras paga alquiler.",,,,,,Tabaré Vázquez
Programa,79,Vivienda,"Se incluirán el Plan “Juntos”, el Programa de Mejoramiento de Barrios (ex PIAI) y demás programas actualmente existentes en el Plan Quinquenal de Vivienda.",,,,,,Tabaré Vázquez
Programa,80,Vivienda,"Se reglamentará el deber de usar, aprovechar,mantener, etc., los bienes inmuebles, previsto en la LOTyDS, que se pondrá inmediatamente en aplicación para un mejor aprovechamiento del stock habitacional y la infraestructura existente",,,,,,Tabaré Vázquez
